iters,reward
4769,1103.98
368,139.88
264,74.29
350,98.49
262,75.01
523,139.03
506,117.63
183,47.14
177,81.87
475,100.51
180,60.96
225,57.23
191,60.84
202,57.26
209,80.48
182,63.48
187,76.22
221,63.85
176,62.87
194,64.25
180,54.63
187,68.8
136,46.19
204,63.01
175,64.57
199,84.91
186,72.54
265,70.34
173,60.5
171,58.11
176,64.67
138,51.05
99,37.47
175,61.61
138,40.78
218,80.4
195,70.13
183,68.45
210,73.79
177,60.3
177,62.18
115,50.26
192,76.69
175,60.49
177,55.78
174,55.29
178,63.62
173,57.32
177,63.38
196,82.05
174,55.8
109,45.74
177,60.75
179,57.11
174,60.45
141,43.89
115,50.46
150,46.89
185,71.08
98,37.45
177,63.43
168,54.99
176,66.37
136,41.47
176,54.77
176,57.84
173,59.32
181,56.99
166,54.84
106,39.25
128,35.95
221,90.88
186,53.83
178,65.39
143,52.41
367,67.95
213,60.17
202,91.2
107,44.74
179,57.82
269,67.69
170,64.45
177,55.66
187,58.8
254,65.87
179,55.04
175,61.33
187,75.33
137,43.09
174,60.0
157,47.17
254,75.11
198,62.85
185,60.92
170,61.81
254,83.99
191,61.29
189,77.99
139,41.27
223,47.8
170,59.29
140,40.32
151,48.99
105,37.17
171,57.92
192,79.37
179,64.09
279,160.86
121,45.0
104,38.94
125,38.02
190,76.38
130,37.78
182,64.95
183,61.19
137,53.59
199,83.77
124,37.72
195,76.08
182,69.01
177,65.07
186,60.99
257,68.16
254,68.55
178,59.83
562,119.76
221,70.47
183,61.45
250,79.3
160,47.05
133,38.96
143,42.15
136,40.47
137,39.79
350,92.18
197,77.54
187,62.13
185,63.79
128,41.47
152,42.88
197,80.26
182,66.84
199,56.89
104,38.26
133,46.17
135,44.97
137,38.75
127,43.88
138,48.3
191,77.0
138,42.99
186,61.55
267,69.92
187,59.0
295,110.78
150,43.19
191,56.76
422,93.78
177,63.03
128,37.94
178,60.12
129,45.16
127,40.29
185,57.95
185,70.49
132,42.6
180,66.88
143,45.97
172,57.65
177,57.8
176,61.86
129,40.07
178,63.5
137,45.88
176,60.5
180,68.02
171,55.03
174,57.46
100,39.46
187,73.91
173,56.6
177,62.84
97,36.9
207,91.86
181,67.48
93,34.17
94,35.13
178,67.0
176,59.83
97,36.14
107,43.66
175,63.39
127,39.36
140,48.27
193,54.3
181,58.29
179,62.85
179,57.05
124,37.47
177,66.39
